ym,brand,series,combo,name,supply,actual
2024-10,퍼시스,,CHXX2408002-WW,CHN0020MD-등좌판 371L,평택의자,44
2024-10,알로소,(시디즈)기타,EXTRA-P02-XX,온라인쇼핑몰단가정정(알로소),평택의자,4
2024-10,시디즈,(시디즈)기타,FH1101013-XX,"T501FU비-좌판N/C,후레임만X,SIDIZ로고",평택의자,60
2024-10,시디즈,(시디즈)기타,FHT400AMQ054-XX,부품출고-AMQ T40 등판스트립(500EA),평택의자,6
2024-10,시디즈,(시디즈)기타,FHT400AMQ055-XX,부품출고-AMQ T40 등판 하부 스트립(500EA),평택의자,6
2024-10,시디즈,(시디즈)기타,FHT500KI012-736,부품출고-T50 좌판 천&폼 (736),평택의자,80
2024-10,시디즈,(시디즈)기타,FHT500KI014-XX,부품출고-T50 헤드레스트+카바+조립볼트,평택의자,60
2024-10,시디즈,(시디즈)기타,FHT500KI022-XX,부품출고-KI전용 T50 좌판스폰지,평택의자,600
2024-10,시디즈,(시디즈)기타,FHT500KI041-XX,부품출고-T500기본형등판(신규색:CHAMPAGNE METALLIC),평택의자,40
2024-10,시디즈,(시디즈)기타,FHT500KI045-XX,부품출고-T500기본형등판(신규색상:GREY),평택의자,80
2024-10,시디즈,(시디즈)기타,FHT500KI078-XX,"FHT500KI001비-K/D,신규박스(팔분리),설명/보증서X/좌마감X",평택의자,200
2024-10,시디즈,(시디즈)기타,FHT500KI084-XX,부품출고-TILT4000G(KI)_볼트포함,평택의자,10
2024-10,시디즈,(시디즈)기타,FHT500KI085-XX,부품출고-T500 빽지(1EA),평택의자,500
2024-10,시디즈,(시디즈)기타,FHT500KI203-XX,"""부품출고-T50 RE럼버출고,조립피스""""포함"""" (20EA/BOX 포장)""",평택의자,100
2024-10,시디즈,(시디즈)기타,FHT500KI352-XX,부품출고-T50 KI사양(FHT500KI) 등판출고(BLACK) + RE럼버,평택의자,240
2024-10,시디즈,(시디즈)기타,FHT500KI452-XX,부품출고-T50 KI사양 등판 출고 (GREY) + RE럼버,평택의자,40
2024-10,시디즈,(시디즈)기타,FHT503KI013-XX,부품출고-반전자동중심봉 3621용 (1EA),평택의자,40
2024-10,시디즈,(시디즈)기타,FHT503KI045-XX,"부품출고-T503좌판골격+스폰지,종타이틸트 인서트적용",평택의자,200
2024-10,시디즈,(시디즈)기타,FHT503KI054-XX,"T503FU비-KI(좌판X,FK/D),종타이,120G,설명서/보증서X",평택의자,50
2024-10,시디즈,(시디즈)기타,FHT550KI010-736,부품출고-T55 좌판 천&폼 (736),평택의자,40
2024-10,시디즈,(시디즈)기타,FHT550KI019-736,부품출고-T55 등판 천&폼 (736),평택의자,40
2024-10,시디즈,(시디즈)기타,FHT550KI021-XX,부품출고-T55 헤드레스트+부착커버+조립볼트,평택의자,40
2024-10,시디즈,(시디즈)기타,FHT550KI022-XX,부품출고-ø65 우레탄 캐스터(1EA),평택의자,2000
2024-10,시디즈,(시디즈)기타,FHXZ2408002-4C6BK,"G20HDA0KK-700NEW플랫(BK), 벌크 출고",평택의자,624
2024-10,시디즈,(시디즈)기타,ITHCH0020WN-451MWW,"버튼 스위블(캐스터,좌판패딩)",평택의자,22
2024-10,시디즈,(시디즈)기타,ITHCH1008W-459,수출용코드-펑거스 화이트,의자상품,5
2024-10,시디즈,(시디즈)기타,ITHCH2711A-A444P,수출용코드-윙키즈,의자상품,14
2024-10,시디즈,(시디즈)기타,ITTTY00BQ01A-451M,수출용코드-올리버 고정형 (원패킹),평택의자,16
2024-10,시디즈,(시디즈)기타,PBRX00K1102-XX,2011 종합리플릿 (100부/1박스),의자상품,1
2024-10,시디즈,(시디즈)기타,TN503FU-758,"T50-Soft,고정형,Mandarine,65_26U,투톤캐스터",평택의자,1
2024-10,시디즈,(시디즈)기타,VOPCW475-891L,[AS]T20 등판(화이트프레임 공용/891L),VN의자,16
2024-10,시디즈,(시디즈)기타,VOPCW475-894,[AS]T20 등판(블랙프레임/894),VN의자,3
2024-10,시디즈,(시디즈)기타,VOPCW475-896,[AS]T20 등판(블랙프레임/896),VN의자,6
2024-10,시디즈,(시디즈)기타,VOPCW475-897,[AS]T20 등판(블랙프레임/897),VN의자,1
2024-10,시디즈,(시디즈)기타,VOPCW508-451A,[AS]T20 좌판(화이트프레임/451A),VN의자,8
2024-10,시디즈,(시디즈)기타,VOPCW508-454A,[AS]T20 좌판(화이트프레임/454A),VN의자,11
