ym,brand,series,combo,name,supply,forecast
2025-06,데스커,,DHM1101EY-451ABK,"데스커 M40 네스팅 멀티유즈 의자 - 패브릭 좌판, 캐스터",시디즈(평택),61
2025-06,데스커,,DHM1101EY-451AWW,"데스커 M40 네스팅 멀티유즈 의자 - 패브릭 좌판, 캐스터",시디즈(평택),189
2025-06,데스커,,DHM1491-BK,아웃라인,시디즈(평택),51
2025-06,데스커,,DHM1491-DSG,아웃라인,시디즈(평택),45
2025-06,데스커,,DHM1491-WW,아웃라인,시디즈(평택),98
2025-06,데스커,,DHM301E-BWWW,데스커M08 시리즈 우든체어,시디즈(평택),38
2025-06,데스커,,DHM302E-452WW,데스커M08 시리즈_패브릭,시디즈(평택),49
2025-06,데스커,,DHM302E-456BK,데스커M08 시리즈_패브릭,시디즈(평택),34
2025-06,데스커,,DHM303E-A490LW,데스커M08 시리즈_인조가죽,시디즈(평택),47
2025-06,데스커,,DHM303E-A492WW,데스커M08 시리즈_인조가죽,시디즈(평택),24
2025-06,데스커,,DHM500-451L,데스커M13 (펑거스스툴) WW사양 좌판451L,시디즈(평택),34
2025-06,데스커,,DHM500-454B,데스커M13 (펑거스스툴) WW사양 좌판454B,시디즈(평택),12
2025-06,데스커,,DHM560-454,데스커M13 (펑거스스툴) BK사양 좌판454,시디즈(평택),16
2025-06,데스커,,DHM704E-BW,데스커 위 바스툴 680(화이트프레임/우드),시디즈(평택),63
2025-06,데스커,,DHM764E-BW,데스커 위 바스툴 680(블랙프레임/우드),시디즈(평택),17
2025-06,데스커,,DHM811E-WW,"데스커Button 4-Legs,쉘,WW도장",시디즈(평택),26
2025-06,데스커,,DHM811EY-WW,"데스커Button 4-Legs,캐스터,쉘,WW도장",시디즈(평택),46
2025-06,데스커,,DHM861E-BK,"데스커Button BK쉘,4-Legs,쉘,BK도장",시디즈(평택),18
2025-06,데스커,,DHM861EY-BK,"데스커Button BK쉘,4-Legs,캐스터,쉘,BK도장",시디즈(평택),51
2025-06,데스커,,DHMN101E-BKBK,데스커M02시리즈 4-LEG,시디즈(평택),173
2025-06,데스커,,DHMN101E-WWWWL,데스커M02시리즈 4-LEG,시디즈(평택),718
2025-06,데스커,,DHMN803W-831,데스커 버튼 리프트업 무브 화이트쉘 (패브릭),시디즈(평택),36
2025-06,데스커,,DHMN863W-371,데스커 버튼 리프트업 무브 블랙쉘 (패브릭),시디즈(평택),35
2025-06,데스커,,DHT1009ACF-A441P,"데스커 링고 고정중심봉,50_38U(SG) 캐스터,뉴 발받침조립",베트남,479
2025-06,데스커,,DHT1200HF-2H1,올라운드 체어 HF 화이트쉘/그레이좌판,베트남,1043
2025-06,데스커,,DHT1200HF-2H2,올라운드 체어 HF 화이트쉘/베이지좌판,베트남,575
2025-06,데스커,,DHT1260HF-2H6,올라운드 체어 HF 블랙쉘/블랙좌판,베트남,555
2025-06,데스커,,DHT1300HLDA-451M,"데스커 ALL NEW T500HLDA(2023) 화이트쉘, 451M, 그레이",베트남,138
2025-06,데스커,,DHT1360HLDA-456,"데스커 ALL NEW T500HLDA(2023) 블랙쉘, 456, 다크그레이",베트남,62
2025-06,데스커,,DHT175HDA-4C1BWW,"데스커 GX_HDA
(화이트프레임/4C1B 메쉬/831N 좌판)",시디즈(평택),21
2025-06,데스커,,DHT175HDA-4C6BK,"데스커 GX_HDA
(블랙프레임/4C6 메쉬/836 좌판)",시디즈(평택),14
2025-06,데스커,,DHT185HLDA-4B1LMN,"데스커 T90_HLDA
(샴페인골드프레임/더블라셀/그레이)",시디즈(평택),18
2025-06,데스커,,DHT185HLDA-4B6BKM,"데스커 T90_HLDA
(블랙프레임/더블라셀/블랙)",시디즈(평택),18
2025-06,데스커,,DHT300F-452N,"데스커T25 WW 메쉬등판, 회전중심봉,50_27U(SG)",시디즈(평택),53
2025-06,데스커,,DHT300F-457L,"데스커T25 WW 메쉬등판, 회전중심봉,50_27U(SG)",시디즈(평택),10
2025-06,데스커,,DHT300NF-452N,"데스커T25 WW 플렉스등판,회전중심봉,50_27U(SG)",시디즈(평택),23
2025-06,데스커,,DHT9FEGU-452NWW,데스커 ible/바퀴+글라이드/등판메쉬 변경   (KATE-C),시디즈(평택),264
2025-06,데스커,,DHTN603F-451M,데스커 ible 높이조절형/회전중심봉,시디즈(평택),72
2025-06,데스커,,DHTN800HLDA-451NWW,데스커 T80 WW프레임 등판 N421L메쉬+451N 라이트그레이 좌판,시디즈(평택),25
2025-06,데스커,,DHTN860HLDA-456BK,데스커 T80 BK프레임 등판 N421A메쉬+좌판 456 패브릭,시디즈(평택),23
2025-06,시디즈,GC PRO,G10HDA1CC1-WON9,GC PRO_일반형 원신 콜라보 (퀼팅 퍼플),시디즈(평택),1
2025-06,시디즈,GC PRO,G10HDA1CC2-TOT7A,"GC PRO_일반형 토트넘 콜라보(좌판 퀼팅 네이비, 포토카드 포함)",시디즈(평택),30
2025-06,시디즈,GC PRO,G10HDA1CC3-GENG,GC PRO_일반형 젠지 콜라보,시디즈(평택),28
2025-06,시디즈,GC PRO,G10HDA1KK-A441QW,GC PRO_일반형(화이트프레임/그레이레드),시디즈(평택),56
2025-06,시디즈,GC PRO,G10HDA1KK-A446BK,GC PRO_일반형(블랙프레임/블랙블루),시디즈(평택),57
2025-06,시디즈,GC PRO,G10HDAW1KK-A441QW,GC PRO_쿨링시트(화이트프레임/그레이레드),시디즈(평택),39
2025-06,시디즈,GC PRO,G10HDAW1KK-A446BK,GC PRO_쿨링시트(블랙프레임/블랙블루),시디즈(평택),42
2025-06,시디즈,GC PRO,G10HDAWJ1CC3-GENG,GC PRO_쿨링시트_LED 젠지 콜라보,시디즈(평택),232
2025-06,시디즈,GC PRO,G10HDAWJ1KK-A441QW,GC PRO_쿨링시트_LED(화이트프레임/그레이레드),시디즈(평택),25
2025-06,시디즈,GC PRO,G10HDAWJ1KK-A446BK,GC PRO_쿨링시트_LED(블랙프레임/블랙블루),시디즈(평택),33
